license,organization
가축인공수정사,시·도 또는 농촌진흥청 국립축산과학원
농산물검사관,국립농산물품질관리원
농산물품질관리사,한국산업인력공단
말조련사,한국마사회
장제사,한국마사회
산림기술자,산림청
수산질병관리사,한국해양수산연수원
방사선취급감독자면허,한국원자력안전기술원
방사성동위원소취급자일반면허,한국원자력안전기술원
가축인공수정사,시·도 또는 농촌진흥청 국립축산과학원
농산물검사관,국립농산물품질관리원
농산물품질관리사,한국산업인력공단
말조련사,한국마사회
장제사,한국마사회
산림기술자,산림청
수산질병관리사,한국해양수산연수원
방사선취급감독자면허,한국원자력안전기술원
방사성동위원소취급자일반면허,한국원자력안전기술원
자동차운전면허,도로교통공단 운전면허본부
자동차운전전문학원강사,도로교통공단 운전면허본부
자동차운전전문학원기능검정원,도로교통공단 운전면허본부
택시운전자격,한국교통안전공단
화물운송종사자격,한국교통안전공단
경량항공기조종사,한국교통안전공단
군항공교통관제사,공군정보통신학교
부조종사,한국교통안전공단
사업용조종사,한국교통안전공단
운항관리사,한국교통안전공단
자가용조종사,한국교통안전공단
항공교통관제사,한국교통안전공단
항공기관사,한국교통안전공단
항공사,한국교통안전공단
구명정조종사,지방해양수산청
기관사,한국해양수산연수원
도선사,해양수산부
동력수상레저기구조종면허,지정 시험대행기관(전국 32개 조정면허시험장 등)
수면비행선박조종사,한국해양수산연수원
운항사,한국해양수산연수원
항해사,한국해양수산연수원
철도운행안전관리자,한국철도운전기술협회
철도차량운전면허,한국교통안전공단
환경측정분석사,국립환경인재개발원
정수시설운영관리사,한국산업인력공단
환경교육사,국가환경교육센터(환경보전협회)
교통안전관리자,한국교통안전공단
산업보건지도사,한국산업인력공단
소방시설관리사,한국산업인력공단
소방안전교육사,한국산업인력공단
화재조사관,소방청 교육훈련담당관
보험계리사,보험개발원
보험중개사,보험개발원
손해사정사,보험개발원
공인중개사,한국산업인력공단
경영지도사,한국산업인력공단
기술지도사,한국산업인력공단
주택관리사,한국산업인력공단
감정사,한국산업인력공단
감정평가사,한국산업인력공단
검량사,한국산업인력공단
검수사,한국산업인력공단
공인회계사,금융감독원
관세사,한국산업인력공단
보세사,한국관세물류협회
원자로조종감독자면허,한국원자력안전기술원
원자로조종사면허,한국원자력안전기술원
핵연료물질취급감독자면허,한국원자력안전기술원
핵연료물질취급자면허,한국원자력안전기술원
철도안전전문기술자,"한국전기철도기술협회, 한국철도신호기술협회, 한국철도시설협회, 한국철도차량엔지니어링 "
항공정비사,한국교통안전공단
무선통신사,한국방송통신전파진흥원
아마추어무선기사,한국방송통신전파진흥원
통신사,한국해양수산연수원
자동차운전면허,도로교통공단 운전면허본부
자동차운전전문학원강사,도로교통공단 운전면허본부
자동차운전전문학원기능검정원,도로교통공단 운전면허본부
택시운전자격,한국교통안전공단
화물운송종사자격,한국교통안전공단
경량항공기조종사,한국교통안전공단
군항공교통관제사,공군정보통신학교
부조종사,한국교통안전공단
사업용조종사,한국교통안전공단
운항관리사,한국교통안전공단
자가용조종사,한국교통안전공단
항공교통관제사,한국교통안전공단
항공기관사,한국교통안전공단
항공사,한국교통안전공단
구명정조종사,지방해양수산청
기관사,한국해양수산연수원
도선사,해양수산부
동력수상레저기구조종면허,지정 시험대행기관(전국 32개 조정면허시험장 등)
수면비행선박조종사,한국해양수산연수원
운항사,한국해양수산연수원
항해사,한국해양수산연수원
철도운행안전관리자,한국철도운전기술협회
철도차량운전면허,한국교통안전공단
환경측정분석사,국립환경인재개발원
정수시설운영관리사,한국산업인력공단
환경교육사,국가환경교육센터(환경보전협회)
교통안전관리자,한국교통안전공단
산업보건지도사,한국산업인력공단
소방시설관리사,한국산업인력공단
소방안전교육사,한국산업인력공단
화재조사관,소방청 교육훈련담당관
보험계리사,보험개발원
보험중개사,보험개발원
손해사정사,보험개발원
공인중개사,한국산업인력공단
경영지도사,한국산업인력공단
기술지도사,한국산업인력공단
주택관리사,한국산업인력공단
감정사,한국산업인력공단
감정평가사,한국산업인력공단
검량사,한국산업인력공단
검수사,한국산업인력공단
공인회계사,금융감독원
관세사,한국산업인력공단
보세사,한국관세물류협회
원자로조종감독자면허,한국원자력안전기술원
원자로조종사면허,한국원자력안전기술원
핵연료물질취급감독자면허,한국원자력안전기술원
핵연료물질취급자면허,한국원자력안전기술원
철도안전전문기술자,"한국전기철도기술협회, 한국철도신호기술협회, 한국철도시설협회, 한국철도차량엔지니어링 "
항공정비사,한국교통안전공단
무선통신사,한국방송통신전파진흥원
아마추어무선기사,한국방송통신전파진흥원
통신사,한국해양수산연수원
자동차운전면허,도로교통공단 운전면허본부
자동차운전전문학원강사,도로교통공단 운전면허본부
자동차운전전문학원기능검정원,도로교통공단 운전면허본부
택시운전자격,한국교통안전공단
화물운송종사자격,한국교통안전공단
경량항공기조종사,한국교통안전공단
군항공교통관제사,공군정보통신학교
부조종사,한국교통안전공단
사업용조종사,한국교통안전공단
운항관리사,한국교통안전공단
자가용조종사,한국교통안전공단
항공교통관제사,한국교통안전공단
항공기관사,한국교통안전공단
항공사,한국교통안전공단
구명정조종사,지방해양수산청
기관사,한국해양수산연수원
도선사,해양수산부
동력수상레저기구조종면허,지정 시험대행기관(전국 32개 조정면허시험장 등)
수면비행선박조종사,한국해양수산연수원
운항사,한국해양수산연수원
항해사,한국해양수산연수원
철도운행안전관리자,한국철도운전기술협회
철도차량운전면허,한국교통안전공단
환경측정분석사,국립환경인재개발원
정수시설운영관리사,한국산업인력공단
환경교육사,국가환경교육센터(환경보전협회)
교통안전관리자,한국교통안전공단
산업보건지도사,한국산업인력공단
소방시설관리사,한국산업인력공단
소방안전교육사,한국산업인력공단
화재조사관,소방청 교육훈련담당관
보험계리사,보험개발원
보험중개사,보험개발원
손해사정사,보험개발원
공인중개사,한국산업인력공단
경영지도사,한국산업인력공단
기술지도사,한국산업인력공단
주택관리사,한국산업인력공단
감정사,한국산업인력공단
감정평가사,한국산업인력공단
검량사,한국산업인력공단
검수사,한국산업인력공단
공인회계사,금융감독원
관세사,한국산업인력공단
보세사,한국관세물류협회
원자로조종감독자면허,한국원자력안전기술원
원자로조종사면허,한국원자력안전기술원
핵연료물질취급감독자면허,한국원자력안전기술원
핵연료물질취급자면허,한국원자력안전기술원
철도안전전문기술자,"한국전기철도기술협회, 한국철도신호기술협회, 한국철도시설협회, 한국철도차량엔지니어링 "
항공정비사,한국교통안전공단
무선통신사,한국방송통신전파진흥원
아마추어무선기사,한국방송통신전파진흥원
통신사,한국해양수산연수원
자동차운전면허,도로교통공단 운전면허본부
자동차운전전문학원강사,도로교통공단 운전면허본부
자동차운전전문학원기능검정원,도로교통공단 운전면허본부
택시운전자격,한국교통안전공단
화물운송종사자격,한국교통안전공단
경량항공기조종사,한국교통안전공단
군항공교통관제사,공군정보통신학교
부조종사,한국교통안전공단
사업용조종사,한국교통안전공단
운항관리사,한국교통안전공단
자가용조종사,한국교통안전공단
항공교통관제사,한국교통안전공단
항공기관사,한국교통안전공단
항공사,한국교통안전공단
구명정조종사,지방해양수산청
기관사,한국해양수산연수원
도선사,해양수산부
동력수상레저기구조종면허,지정 시험대행기관(전국 32개 조정면허시험장 등)
수면비행선박조종사,한국해양수산연수원
운항사,한국해양수산연수원
항해사,한국해양수산연수원
철도운행안전관리자,한국철도운전기술협회
철도차량운전면허,한국교통안전공단
환경측정분석사,국립환경인재개발원
정수시설운영관리사,한국산업인력공단
환경교육사,국가환경교육센터(환경보전협회)
교통안전관리자,한국교통안전공단
산업보건지도사,한국산업인력공단
소방시설관리사,한국산업인력공단
소방안전교육사,한국산업인력공단
화재조사관,소방청 교육훈련담당관
보험계리사,보험개발원
보험중개사,보험개발원
손해사정사,보험개발원
공인중개사,한국산업인력공단
경영지도사,한국산업인력공단
기술지도사,한국산업인력공단
주택관리사,한국산업인력공단
감정사,한국산업인력공단
감정평가사,한국산업인력공단
검량사,한국산업인력공단
검수사,한국산업인력공단
공인회계사,금융감독원
관세사,한국산업인력공단
보세사,한국관세물류협회
원자로조종감독자면허,한국원자력안전기술원
원자로조종사면허,한국원자력안전기술원
핵연료물질취급감독자면허,한국원자력안전기술원
핵연료물질취급자면허,한국원자력안전기술원
철도안전전문기술자,"한국전기철도기술협회, 한국철도신호기술협회, 한국철도시설협회, 한국철도차량엔지니어링 "
항공정비사,한국교통안전공단
무선통신사,한국방송통신전파진흥원
아마추어무선기사,한국방송통신전파진흥원
통신사,한국해양수산연수원
자동차운전면허,도로교통공단 운전면허본부
자동차운전전문학원강사,도로교통공단 운전면허본부
자동차운전전문학원기능검정원,도로교통공단 운전면허본부
택시운전자격,한국교통안전공단
화물운송종사자격,한국교통안전공단
경량항공기조종사,한국교통안전공단
군항공교통관제사,공군정보통신학교
부조종사,한국교통안전공단
사업용조종사,한국교통안전공단
운항관리사,한국교통안전공단
자가용조종사,한국교통안전공단
항공교통관제사,한국교통안전공단
항공기관사,한국교통안전공단
항공사,한국교통안전공단
구명정조종사,지방해양수산청
기관사,한국해양수산연수원
도선사,해양수산부
동력수상레저기구조종면허,지정 시험대행기관(전국 32개 조정면허시험장 등)
수면비행선박조종사,한국해양수산연수원
운항사,한국해양수산연수원
항해사,한국해양수산연수원
철도운행안전관리자,한국철도운전기술협회
철도차량운전면허,한국교통안전공단
환경측정분석사,국립환경인재개발원
정수시설운영관리사,한국산업인력공단
환경교육사,국가환경교육센터(환경보전협회)
교통안전관리자,한국교통안전공단
산업보건지도사,한국산업인력공단
소방시설관리사,한국산업인력공단
소방안전교육사,한국산업인력공단
화재조사관,소방청 교육훈련담당관
보험계리사,보험개발원
보험중개사,보험개발원
손해사정사,보험개발원
공인중개사,한국산업인력공단
경영지도사,한국산업인력공단
기술지도사,한국산업인력공단
주택관리사,한국산업인력공단
감정사,한국산업인력공단
감정평가사,한국산업인력공단
검량사,한국산업인력공단
검수사,한국산업인력공단
공인회계사,금융감독원
관세사,한국산업인력공단
보세사,한국관세물류협회
원자로조종감독자면허,한국원자력안전기술원
원자로조종사면허,한국원자력안전기술원
핵연료물질취급감독자면허,한국원자력안전기술원
핵연료물질취급자면허,한국원자력안전기술원
철도안전전문기술자,"한국전기철도기술협회, 한국철도신호기술협회, 한국철도시설협회, 한국철도차량엔지니어링 "
항공정비사,한국교통안전공단
무선통신사,한국방송통신전파진흥원
아마추어무선기사,한국방송통신전파진흥원
통신사,한국해양수산연수원
자동차운전면허,도로교통공단 운전면허본부
자동차운전전문학원강사,도로교통공단 운전면허본부
자동차운전전문학원기능검정원,도로교통공단 운전면허본부
택시운전자격,한국교통안전공단
화물운송종사자격,한국교통안전공단
경량항공기조종사,한국교통안전공단
군항공교통관제사,공군정보통신학교
부조종사,한국교통안전공단
사업용조종사,한국교통안전공단
운항관리사,한국교통안전공단
자가용조종사,한국교통안전공단
항공교통관제사,한국교통안전공단
항공기관사,한국교통안전공단
항공사,한국교통안전공단
구명정조종사,지방해양수산청
기관사,한국해양수산연수원
도선사,해양수산부
동력수상레저기구조종면허,지정 시험대행기관(전국 32개 조정면허시험장 등)
수면비행선박조종사,한국해양수산연수원
운항사,한국해양수산연수원
항해사,한국해양수산연수원
철도운행안전관리자,한국철도운전기술협회
철도차량운전면허,한국교통안전공단
환경측정분석사,국립환경인재개발원
정수시설운영관리사,한국산업인력공단
환경교육사,국가환경교육센터(환경보전협회)
교통안전관리자,한국교통안전공단
산업보건지도사,한국산업인력공단
소방시설관리사,한국산업인력공단
소방안전교육사,한국산업인력공단
화재조사관,소방청 교육훈련담당관
보험계리사,보험개발원
보험중개사,보험개발원
손해사정사,보험개발원
공인중개사,한국산업인력공단
경영지도사,한국산업인력공단
기술지도사,한국산업인력공단
주택관리사,한국산업인력공단
감정사,한국산업인력공단
감정평가사,한국산업인력공단
검량사,한국산업인력공단
검수사,한국산업인력공단
공인회계사,금융감독원
관세사,한국산업인력공단
보세사,한국관세물류협회
원자로조종감독자면허,한국원자력안전기술원
원자로조종사면허,한국원자력안전기술원
핵연료물질취급감독자면허,한국원자력안전기술원
핵연료물질취급자면허,한국원자력안전기술원
철도안전전문기술자,"한국전기철도기술협회, 한국철도신호기술협회, 한국철도시설협회, 한국철도차량엔지니어링 "
항공정비사,한국교통안전공단
무선통신사,한국방송통신전파진흥원
아마추어무선기사,한국방송통신전파진흥원
통신사,한국해양수산연수원
자동차운전면허,도로교통공단 운전면허본부
자동차운전전문학원강사,도로교통공단 운전면허본부
자동차운전전문학원기능검정원,도로교통공단 운전면허본부
택시운전자격,한국교통안전공단
화물운송종사자격,한국교통안전공단
경량항공기조종사,한국교통안전공단
군항공교통관제사,공군정보통신학교
부조종사,한국교통안전공단
사업용조종사,한국교통안전공단
운항관리사,한국교통안전공단
자가용조종사,한국교통안전공단
항공교통관제사,한국교통안전공단
항공기관사,한국교통안전공단
항공사,한국교통안전공단
구명정조종사,지방해양수산청
기관사,한국해양수산연수원
도선사,해양수산부
동력수상레저기구조종면허,지정 시험대행기관(전국 32개 조정면허시험장 등)
수면비행선박조종사,한국해양수산연수원
운항사,한국해양수산연수원
항해사,한국해양수산연수원
철도운행안전관리자,한국철도운전기술협회
철도차량운전면허,한국교통안전공단
환경측정분석사,국립환경인재개발원
정수시설운영관리사,한국산업인력공단
환경교육사,국가환경교육센터(환경보전협회)
교통안전관리자,한국교통안전공단
산업보건지도사,한국산업인력공단
소방시설관리사,한국산업인력공단
소방안전교육사,한국산업인력공단
화재조사관,소방청 교육훈련담당관
보험계리사,보험개발원
보험중개사,보험개발원
손해사정사,보험개발원
공인중개사,한국산업인력공단
경영지도사,한국산업인력공단
