keyword,title,host,dueDate,viewCount,coverImage,parentCategory_id,subCategory_id
국내봉사,자원순환 봉사활동가 <서촌 지구봉사단 20기>를 모집합니다.,지구를지키는소소한행동 사회적협동조합,D-4,14,https://cf-cpi.campuspick.com/activity/1728008225926136_thumb.jpg,1,2
"강연/행사,기타",제1회 동북아 탄소중립 캠퍼스 포럼 2024 유엔 동북아 SDGs 포럼,"APRCEM, 서울특별시, (사)한국로하스협회, 국제지속가능청년연합, 녹",D-14,15,https://cf-cpi.campuspick.com/activity/1727847878549894_thumb.jpg,1,2
"서포터즈,마케터",2024 하반기 몬스터 에너지 앰배서더 모집,몬스터 에너지 코리아,D-6,46,https://cf-cpi.campuspick.com/activity/1727846680059341_thumb.jpg,1,2
서포터즈,[인천 e스포츠 아카데미] G-FAN 서포터즈 2기,인천테크노파크,D-3,455,https://cf-cpi.campuspick.com/activity/1727849038256992_thumb.jpg,1,2
"마케터,기타",[신한은행] 신한 커리어업 7기 참가자 모집(~10.14),신한은행/신한금융희망재단,D-7,0,https://cf-cpi.campuspick.com/activity/1727841078103921_thumb.jpg,1,2
"강연/행사,기타",[평택시국제교류재단/아시아교류협회] 제3회 아시아 청년 미래 포럼 참가자,평택시국제교류재단/아시아교류협회,D-13,831,https://cf-cpi.campuspick.com/activity/1727831853666790_thumb.jpg,1,2
국내봉사,[우리다문화장학재단x에이드런] 아동 작품전시회 도슨트 봉사자 모집,주식회사 에이드런,D-4,0,https://cf-cpi.campuspick.com/activity/1727762109879293_thumb.jpg,1,2
"강연/행사,기타",🌏[D-14] UNESCO 생물권보전지역 청년포럼 참여자 모집🌱,유네스코 MAB한국위원회,D-7,0,https://cf-cpi.campuspick.com/activity/1727677302247182_thumb.jpg,1,2
국내봉사,[관악구장애인가족지원센터] 장애인 가족 운동회 자원봉사자 모집,관악구장애인가족지원센터,D-4,476,https://cf-cpi.campuspick.com/activity/1727660394378514_thumb.jpg,1,2
"국내봉사,서포터즈",10월 12일(토) 『리딩데이 : 관악산책』 운영지원 자원봉사자 모집,관악문화재단(용꿈꾸는작은도서관),D-4,848,https://cf-cpi.campuspick.com/activity/1727496612754632_thumb.jpg,1,2
서포터즈,카카오 T 신규 서비스 서포터즈 2기 모집,카카오모빌리티,D-8,0,https://cf-cpi.campuspick.com/activity/1727426575455180_thumb.jpg,1,2
"해외봉사/탐방,기타",[모집] 2024 KOICA 우간다 / 가나 프로젝트 봉사단 모집,한국국제협력단(KOICA),D-DAY,0,https://cf-cpi.campuspick.com/activity/1727418263070261_thumb.jpg,1,2
국내봉사,[둥글둥글 인문한바퀴] 대학생 자원봉사자 모집,문화체육관광부,D-14,0,https://cf-cpi.campuspick.com/activity/1727403282455905_thumb.jpg,1,2
서포터즈,[둥글둥글 인문한바퀴] 대학생 서포터즈 모집,문화체육관광부,D-6,0,https://cf-cpi.campuspick.com/activity/1727403112012473_thumb.jpg,1,2
서포터즈,"⭐2024 Heal and Joy, 메디 서포터즈 3기⭐ 모집",부산경제진흥원,D-6,0,https://cf-cpi.campuspick.com/activity/1727339057190394_thumb.jpg,1,2
국내봉사,남동문화재단 2024 NPAF 자원활동가 N피플 모집,남동문화재단,D-6,0,https://cf-cpi.campuspick.com/activity/1727237209228678_thumb.jpg,1,2
국내봉사,만수종합사회복지관 두레마루 축제 자원봉사자 모집,만수종합사회복지관,D-2,639,https://cf-cpi.campuspick.com/activity/17271565422857_thumb.jpg,1,2
국내봉사,제26회 부산독립영화제 자원활동가 '인디아이' 모집,부산독립영화협회,D-6,0,https://cf-cpi.campuspick.com/activity/172715495767927_thumb.jpg,1,2
강연/행사,그룹코 프로젝트,재단법인 아름다운가게,D-5,0,https://cf-cpi.campuspick.com/activity/1727135042181337_thumb.jpg,1,2
서포터즈,"제20기 뇌전증 인식개선 서포터즈 ""We are Epilizer"" 지원서",한국뇌전증협회,D-6,0,https://cf-cpi.campuspick.com/activity/1727075230447423_thumb.jpg,1,2
강연/행사,[2024GGDC] K-GAME의 새로운 시작 ‘2024 글로벌 게임 개,광주광역시,D-2,836,https://cf-cpi.campuspick.com/activity/1727059440197365_thumb.jpg,1,2
강연/행사,[DB]제97회 대학생 온라인 기업격영 체험스쿨 참가자 모집,DB김준기문화재단,D-10,0,https://cf-cpi.campuspick.com/activity/1727050453133611_thumb.jpg,1,2
"국내봉사,기타",월곡청소년센터 청소년전용공간 데스크 운영 대학생 자원봉사자 모집,월곡청소년센터,D-11,606,https://cf-cpi.campuspick.com/activity/1726907586557148_thumb.jpg,1,2
서포터즈,2024 KB 다이렉트 인덱싱 대학생 서포터즈 모집,KB자산운용,D-DAY,0,https://cf-cpi.campuspick.com/activity/1727870673557763_thumb.jpg,1,2
강연/행사,[부천국제애니메이션페스티벌] BIAF2024 잡 세미나 with META,부천국제애니메이션페스티벌,D-8,705,https://cf-cpi.campuspick.com/activity/1726275337760406_thumb.jpg,1,2
강연/행사,[부천국제애니메이션페스티벌] BIAF2024 학술포럼 사전관람신청 접수,부천국제애니메이션페스티벌,D-8,494,https://cf-cpi.campuspick.com/activity/1726275274561826_thumb.jpg,1,2
강연/행사,[달성청년혁신센터]2024 청년 창업 성장을 위한 스케일업 특강,달성청년혁신센터,D-3,876,https://cf-cpi.campuspick.com/activity/1726128268855275_thumb.jpg,1,2
해외봉사/탐방,2025년 동계 KT&G복지재단 대학생 해외봉사단 '상상위더스' 모집,KT&G복지재단,D-DAY,0,https://cf-cpi.campuspick.com/activity/1725865463738459_thumb.jpg,1,2
국내봉사,청년 조직 Y.E.S 회원 모집(신규봉사자),노원1종합사회복지관,D-5,0,https://cf-cpi.campuspick.com/activity/1725521279015457_thumb.jpg,1,2
"국내봉사,서포터즈",시립구로청소년센터 청소년 상담봉사 동아리 '나는' 모집,시립구로청소년센터,D-1,0,https://cf-cpi.campuspick.com/activity/1713752089020668_thumb.jpg,1,2
국내봉사,✨모두다양성센터 보육교사 모집✨,(사)푸른사람들,마감기한 없음,1,https://cf-cpi.campuspick.com/activity/1728006293926941_thumb.jpg,1,2
강연/행사,<2024 청년 월말정산: 10월> 참여자 모집,서울광역청년센터,마감기한 없음,359,https://cf-cpi.campuspick.com/activity/172800794255829_thumb.jpg,1,2
국내봉사,💛북인사 관광안내소에서 통역 봉사단을 모집합니다💛,북인사 관광안내소,마감기한 없음,746,https://cf-cpi.campuspick.com/activity/1727755035583318_thumb.jpg,1,2
강연/행사,<직무 인사이드 아웃>(2차) 현직자 특강 참여자 모집,서울청년센터 광진,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1725869975187351_thumb.jpg,1,2
국내봉사,금호복지관 재능나눔 강사모집,옥수종합사회복지관,마감기한 없음,734,https://cf-cpi.campuspick.com/activity/1724208806938260_thumb.jpg,1,2
국내봉사,2024년 「다문화가족 자녀 멘토링사업」 대학생 멘토 봉사자 모집 4차,인천서구가족센터,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1723784667193692_thumb.jpg,1,2
서포터즈,대학생 서포터즈 BEYOND BUSAN 추가모집,부산광역시,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1723789160349275_thumb.jpg,1,2
"국내봉사,기타",수질 환경 보호 비대면 봉사활동 '우리 하천 지킴이',사단법인 환경실천연합회,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1720665097440530_thumb.jpg,1,2
국내봉사,[동작청소년아지트] 2024. 정기 자원봉사자 모집,동작청소년문화의집,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1719901796487482_thumb.jpg,1,2
국내봉사,[강남노인종합복지관] 강남메타버스체험관 '디지털 서포터즈' 4명 모집,강남노인종합복지관,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1719445164465238_thumb.jpg,1,2
"국내봉사,서포터즈",youth 숏포터즈 모집,시립금천청소년센터,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1718344565738335_thumb.jpg,1,2
국내봉사,'2024년 꿈트는 1080토요학교' 1:1멘토링 봉사자 모집,수원제일평생학교,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/171264489325496_thumb.jpg,1,2
강연/행사,[인천 e스포츠 아카데미] 📢 e스포츠 밋업 3회차 - 글로벌 e스포츠,인천테크노파크,마감기한 없음,36,https://cf-cpi.campuspick.com/activity/17278433576982_thumb.jpg,1,2
"국내봉사,서포터즈",[에이드런] 미술교육봉사 교육서포터즈 모집,주식회사 에이드런,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1727711368695304_thumb.jpg,1,2
서포터즈,"[동아일보, 채널A]2024 SEA FARM SHOW 서포터즈 2기 모집","동아일보, 채널A",마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1727229910055769_thumb.jpg,1,2
국내봉사,[교육봉사] 태청야학 2024학년도 2학기 2차 신입 교사 모집,태청야학,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1727210985382861_thumb.jpg,1,2
강연/행사,지속가능개발 차세대 리더를 위한 WEW,Pillar Foundation,마감기한 없음,486,https://cf-cpi.campuspick.com/activity/17271727430852_thumb.jpg,1,2
국내봉사,[자원봉사모집] JUMP 공연 외국인 관람객 안내 자원봉사자 모집,펀데이코리아네트웍스,마감기한 없음,728,https://cf-cpi.campuspick.com/activity/1727164797601127_thumb.jpg,1,2
국내봉사,[자원봉사모집] 안성 남사당 바우덕이 축제 외국인 팸투어 자원봉사자 모집,경기도 안성시,마감기한 없음,321,https://cf-cpi.campuspick.com/activity/1727163847462751_thumb.jpg,1,2
국내봉사,[경기문화재단] 2024 경기상상캠퍼스 정기 자원봉사자 모집,경기문화재단,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1727142912533569_thumb.jpg,1,2
서포터즈,2024 국가유산주간 SNS 서포터즈 모집,국가유산청,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1727240512931434_thumb.jpg,1,2
"서포터즈,마케터,기타",신라면세점 대학생서포터즈 2기 모집,호텔신라,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1727071428369747_thumb.jpg,1,2
국내봉사,제3기 서울 자치경찰 대학생순찰대 하반기 추가모집,서울특별시 자치경찰위원회,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1727056156289714_thumb.jpg,1,2
국내봉사,제4회 성북청춘불패영화제 자원활동가 청춘페프 모집,성북구,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1726896587816768_thumb.jpg,1,2
"서포터즈,기자단,마케터",2024 페스티벌 시월 서포터즈 모집,부산광역시/벡스코/리컨벤션,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1726889011772767_thumb.jpg,1,2
국내봉사,2024 장성 황룡강 가을꽃 축제 플로깅 모집 공고,장성군청,마감기한 없음,443,https://cf-cpi.campuspick.com/activity/1726826264877885_thumb.jpg,1,2
국내봉사,2024 장성 황룡강 가을꽃 축제 자원봉사자 모집 공고,장성군청,마감기한 없음,371,https://cf-cpi.campuspick.com/activity/1726825421243909_thumb.jpg,1,2
강연/행사,[통일부] 찾아가는 북스토리 토크콘서트 참여자 모집(~9/24),통일부,마감기한 없음,768,https://cf-cpi.campuspick.com/activity/1726815019344825_thumb.jpg,1,2
강연/행사,2024 스타트업콘(Startup:CON) 행사,문화체육관광부,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1726799412517921_thumb.jpg,1,2
서포터즈,[2024 부산 잡(JOB) 페스티벌] 서포터즈 모집,"부산광역시, 부산은행",마감기한 없음,0,https://cf-cpi.campuspick.com/activity/1726796855685176_thumb.jpg,1,2
서포터즈,화성시 축제 서포터즈 모집,문화발전소 열터,마감기한 없음,796,https://cf-cpi.campuspick.com/activity/1726795799584712_thumb.jpg,1,2
국내봉사,[용산구가족센터] '용산가족음악회' 행사진행보조 봉사자 구합니다!,용산구가족센터,마감기한 없음,572,https://cf-cpi.campuspick.com/activity/172679304079578_thumb.jpg,1,2
국내봉사,제6회 대흥이네 마을축제 자원봉사자 모집,서울시 마포구 대흥동 주민센터,마감기한 없음,620,https://cf-cpi.campuspick.com/activity/1726790243737592_thumb.jpg,1,2
강연/행사,지속가능한 청년일자리를 위한 취업전략,서울청년센터 성동,마감기한 없음,731,https://cf-cpi.campuspick.com/activity/1726724568333863_thumb.jpg,1,2
국내봉사,[하계종합사회복지관]우리동네 놀이터 일일 자원봉사자 모집,하계종합사회복지관,마감기한 없음,628,https://cf-cpi.campuspick.com/activity/1726717889262335_thumb.jpg,1,2
"국내봉사,서포터즈",광주여성영화제 자원활동가 귀니 모집(영화제 봉사),(사)광주여성영화제,마감기한 없음,757,https://cf-cpi.campuspick.com/activity/1726711037305840_thumb.jpg,1,2
서포터즈,2024 시흥산업진흥원 3기 청년 서포터즈 추가모집,시흥산업진흥원,마감기한 없음,518,https://cf-cpi.campuspick.com/activity/1726710955486366_thumb.jpg,1,2
강연/행사,[LG전자] 하이엘지 토크콘서트 - 4편 해외영업,LG전자,마감기한 없음,653,https://cf-cpi.campuspick.com/activity/1726213757678381_thumb.jpg,1,2
강연/행사,[대한상공회의소] DLCA Tech-Tree CON (9.26~9.27),고옹노동부,마감기한 없음,523,https://cf-cpi.campuspick.com/activity/1726212157182513_thumb.jpg,1,2
"국내봉사,서포터즈","환경 마라톤 <2024 어쓰런> ""자원봉사자""를 모집합니다",지구를지키는소소한행동 사회적협동조합,마감기한 없음,0,https://cf-cpi.campuspick.com/activity/17261941731026_thumb.jpg,1,2
